player_a,player_b,color_a,color_b,condition,round_type,exec_score_a,upside_score_a,score_a,exec_score_b,upside_score_b,score_b,winner_score,loser_score,prediction,actual_winner,correct
Jhonattan Vegas,Nick Taylor,Purple,Blue,Moderate,Open,3.77,3.38,3.575,-0.51,1.41,0.44999999999999996,3.575,0.44999999999999996,Jhonattan Vegas,Nick Taylor,False
Brian Campbell,Sam Stevens,Blue,Purple,Moderate,Open,0.0,-5.5,-2.75,3.77,3.38,3.575,3.575,-2.75,Sam Stevens,Sam Stevens,True
Max McGreevy,Matti Schmid,Orange,Purple,Moderate,Open,5.28,2.86,4.07,3.77,3.38,3.575,4.07,3.575,Max McGreevy,Max McGreevy,True
Marco Penge,Daniel Berger,Purple,Blue,Moderate,Open,3.77,3.38,3.575,-0.51,1.41,0.44999999999999996,3.575,0.44999999999999996,Marco Penge,Daniel Berger,False
Aldrich Potgieter,Kurt Kitayama,Purple,Purple,Moderate,Open,3.77,3.38,3.575,3.77,3.38,3.575,3.575,3.575,TIE,Kurt Kitayama,
Max Greyserman,Billy Horschel,Green,Orange,Moderate,Open,-10.61,-1.02,-5.8149999999999995,5.28,2.86,4.07,4.07,-5.8149999999999995,Billy Horschel,Max Greyserman,False
Denny McCarthy,Stephan Jaeger,Green,Orange,Moderate,Open,-10.61,-1.02,-5.8149999999999995,5.23,2.86,4.045,4.045,-5.8149999999999995,Stephan Jaeger,Stephan Jaeger,True
Keith Mitchell,Mackenzie Hughes,Brown,Red,Moderate,Open,2.16,2.97,2.5650000000000004,-0.07,-0.72,-0.395,2.5650000000000004,-0.395,Keith Mitchell,Keith Mitchell,True
Michael Thorbjornsen,Nico Echavarria,Red,Orange,Moderate,Open,-0.07,-0.72,-0.395,5.23,2.86,4.045,4.045,-0.395,Nico Echavarria,Nico Echavarria,True
Matt Fitzpatrick,Tony Finau,Yellow,Blue,Moderate,Open,-0.48,-0.99,-0.735,0.0,-5.5,-2.75,-0.735,-2.75,Matt Fitzpatrick,Tony Finau,False
Brian Harman,Rickie Fowler,Green,Red,Moderate,Open,2.61,-1.02,0.7949999999999999,-0.07,-0.72,-0.395,0.7949999999999999,-0.395,Brian Harman,Brian Harman,True
Harris English,Lucas Glover,Pink,Red,Moderate,Open,1.09,0.15,0.62,-0.07,-0.72,-0.395,0.62,-0.395,Harris English,Lucas Glover,False
Andrew Novak,Patrick Cantlay,Orange,Red,Moderate,Open,5.23,2.86,4.045,-0.07,-0.72,-0.395,4.045,-0.395,Andrew Novak,Patrick Cantlay,False
