player_a,player_b,condition,round_type,prediction,actual_winner,gap,score_a,score_b,result,correct
Adam Scott,Harry Hall,Moderate,Open,SKIP,Adam Scott,-1.4262125035043454,-25.00344827586207,-23.577235772357724,SKIP,
Rickie Fowler,Shane Lowry,Moderate,Open,Shane Lowry,Push,-10.179109885133192,-26.06696035242291,-15.887850467289718,PUSH,
Aaron Rai,Keegan Bradley,Moderate,Open,SKIP,Aaron Rai,-1.0386098325662054,-24.99298245614035,-23.954372623574145,SKIP,
Jordan Spieth,J.J. Spaun,Moderate,Open,SKIP,J.J. Spaun,1.1999999999999993,-22.377235772357725,-23.577235772357724,SKIP,
Sepp Straka,Chris Gotterup,Moderate,Open,Chris Gotterup,Sepp Straka,-8.6721736146852,-31.77562189054727,-23.10344827586207,LOSS,False
Nico Echavarria,Wyndham Clark,Moderate,Open,SKIP,Wyndham Clark,0.563512076560837,-21.903448275862072,-22.46696035242291,SKIP,
Nick Taylor,Max McGreevy,Moderate,Open,Nick Taylor,Max McGreevy,5.387771423257551,-19.487850467289718,-24.87562189054727,LOSS,False
Sahith Theegala,Justin Rose,Moderate,Open,SKIP,Sahith Theegala,-2.489724580065186,-26.06696035242291,-23.577235772357724,SKIP,
Hideki Matsuyama,Min Woo Lee,Moderate,Open,SKIP,Hideki Matsuyama,-0.5157466837826234,-24.092982456140348,-23.577235772357724,SKIP,
Xander Schauffele,Cameron Young,Moderate,Open,Xander Schauffele,Cameron Young,10.226565286773688,-14.64905660377358,-24.87562189054727,LOSS,False
Sam Burns,Jason Day,Moderate,Open,Jason Day,Jason Day,-11.328179168584146,-27.177235772357726,-15.84905660377358,WIN,True
Davis Thompson,Corey Conners,Moderate,Open,Corey Conners,Corey Conners,-7.9799045384677605,-27.554372623574146,-19.574468085106385,WIN,True
Darius van Driel,Freddy Schott,Calm,Open,SKIP,Darius van Driel,-4.2,-2.1423868312757217,2.0576131687242785,SKIP,
Tobias Jonsson,Nathan Kimsey,Calm,Open,SKIP,Tobias Jonsson,-4.5301917093245,-4.042386831275721,0.4878048780487796,SKIP,
Zander Lombard,James Morrison,Calm,Open,James Morrison,Zander Lombard,-12.48802206461781,-10.636170212765958,1.8518518518518527,LOSS,False
Ashun Wu,Francesco Molinari,Calm,Open,Francesco Molinari,Ashun Wu,-23.46131743019788,-13.38067226890756,10.080645161290322,LOSS,False
Albin Bergstrom,Andreas Halvorsen,Calm,Open,Andreas Halvorsen,Albin Bergstrom,-7.102025630425796,-3.7121951219512206,3.389830508474576,LOSS,False
nan,nan,nan,nan,SKIP,Angel Ayora,0.0,0.0,0.0,SKIP,
Thriston Lawrence,Zhao Jin,Calm,Open,SKIP,Thriston Lawrence,4.453115532629164,-2.310169491525424,-6.763285024154588,SKIP,
Oliver Lindell,Jorge Campillo,Calm,Open,Jorge Campillo,Jorge Campillo,-11.52077106346112,-9.463157894736842,2.0576131687242785,WIN,True
Eugenio Chacarra,Taichi Kho,Calm,Open,Taichi Kho,Eugenio Chacarra,-14.092840283241543,-4.012195121951221,10.080645161290322,LOSS,False
Calum Hill,Brandon Robinson Thompson,Calm,Open,Brandon Robinson Thompson,Calum Hill,-6.732991202346039,-1.6193548387096772,5.1136363636363615,LOSS,False
Frederic Lacroix,Martin Couvra,Calm,Open,Martin Couvra,Martin Couvra,-12.727114811388631,-11.66328502415459,1.063829787234041,WIN,True
Wenyi Ding,Yanhan Zhou,Calm,Open,Wenyi Ding,Wenyi Ding,5.392840283241542,5.880645161290322,0.4878048780487796,WIN,True
Grant Forrest,Junghwan Lee,Calm,Open,Junghwan Lee,Junghwan Lee,-6.056023194912083,-0.9423868312757215,5.1136363636363615,WIN,True
Joost Luiten,Joel Girrbach,Calm,Open,Joel Girrbach,Joost Luiten,-8.955497943858397,-10.636170212765958,-1.6806722689075608,LOSS,False
Dan Bradbury,Niklas Norgaard,Calm,Open,SKIP,Dan Bradbury,-4.975561886672997,-2.917948717948719,2.0576131687242785,SKIP,
Nacho Elvira,Sean Crocker,Calm,Open,Sean Crocker,Nacho Elvira,-8.961784511784508,-3.848148148148147,5.1136363636363615,LOSS,False
Jeong Weon Ko,Taehoon Ok,Calm,Open,Taehoon Ok,Taehoon Ok,-11.17505509917852,-1.0944099378881984,10.080645161290322,WIN,True
Ugo Coussaud,Sebastian Garcia Rodriguez,Calm,Open,SKIP,Sebastian Garcia Rodriguez,-1.4998728705822542,-8.263157894736842,-6.763285024154588,SKIP,
Cameron Adam,Matthew Baldwin,Calm,Open,SKIP,Matthew Baldwin,2.0826127552470277,-4.680672268907561,-6.763285024154588,SKIP,
Marcus Armitage,Jason Scrivener,Calm,Open,Jason Scrivener,Jason Scrivener,-7.868477146956341,-7.380672268907561,0.4878048780487796,WIN,True
Niklas Lemke,Ivan Cantero Gutierrez,Calm,Open,SKIP,Ivan Cantero Gutierrez,-2.946261789740051,-1.0944099378881984,1.8518518518518527,SKIP,
Kiradech Aphibarnrat,Shubhankar Sharma,Calm,Open,SKIP,Shubhankar Sharma,-1.2372764490411583,-2.917948717948719,-1.6806722689075608,SKIP,
Oihan Guillamoundeguy,Rocco Repetto Taylor,Calm,Open,SKIP,Rocco Repetto Taylor,2.4908146528157458,5.880645161290322,3.389830508474576,SKIP,
