player_a,player_b,condition,round_type,prediction,actual_winner,gap,score_a,score_b,result,correct
Zander Lombard,James Morrison,Calm,Open,James Morrison,Zander Lombard,-11.7,-11.7,0.0,LOSS,False
Ashun Wu,Francesco Molinari,Calm,Open,Francesco Molinari,Ashun Wu,-11.7,-11.7,0.0,LOSS,False
Albin Bergstrom,Andreas Halvorsen,Calm,Open,SKIP,Albin Bergstrom,-4.2,-4.2,0.0,SKIP,
nan,nan,nan,nan,SKIP,Angel Ayora,0.0,0.0,0.0,SKIP,
Thriston Lawrence,Zhao Jin,Calm,Open,SKIP,Thriston Lawrence,-5.7,-5.7,0.0,SKIP,
Oliver Lindell,Jorge Campillo,Calm,Open,SKIP,Jorge Campillo,-4.2,-4.2,0.0,SKIP,
Eugenio Chacarra,Taichi Kho,Calm,Open,SKIP,Eugenio Chacarra,-4.5,-4.5,0.0,SKIP,
Calum Hill,Brandon Robinson Thompson,Calm,Open,Brandon Robinson Thompson,Calum Hill,-11.7,-11.7,0.0,LOSS,False
Frederic Lacroix,Martin Couvra,Calm,Open,SKIP,Martin Couvra,-4.9,-4.9,0.0,SKIP,
Wenyi Ding,Yanhan Zhou,Calm,Open,SKIP,Wenyi Ding,-4.2,-4.2,0.0,SKIP,
Grant Forrest,Junghwan Lee,Calm,Open,SKIP,Junghwan Lee,-3.0,-3.0,0.0,SKIP,
Joost Luiten,Joel Girrbach,Calm,Open,Joel Girrbach,Joost Luiten,-11.7,-11.7,0.0,LOSS,False
Dan Bradbury,Niklas Norgaard,Calm,Open,SKIP,Dan Bradbury,-4.2,-4.2,0.0,SKIP,
Nacho Elvira,Sean Crocker,Calm,Open,SKIP,Nacho Elvira,-5.7,-5.7,0.0,SKIP,
Jeong Weon Ko,Taehoon Ok,Calm,Open,SKIP,Taehoon Ok,-4.2,-4.2,0.0,SKIP,
