player_a,player_b,player_c,recommendation,prediction,actual_winner,is_push,edge,result,correct
Cameron Young,Viktor Hovland,Shane Lowry,SLIGHT: B favored,Viktor Hovland,Viktor Hovland,False,3.927393913517872,WIN,True
Cameron Young,Viktor Hovland,Shane Lowry,SLIGHT: B favored,Viktor Hovland,Viktor Hovland,False,3.927393913517872,WIN,True
Jon Rahm,Thomas Detry,Talor Gooch,SLIGHT: C favored,Talor Gooch,Jon Rahm,False,3.919984484474265,LOSS,False
Scott Vincent,Marc Leishman,Jason Kokrak,SLIGHT: C favored,Jason Kokrak,Marc Leishman,False,3.919984484474265,LOSS,False
Younghan Song,Charl Schwartzel,Richard Bland,SLIGHT: B favored,Charl Schwartzel,,True,3.919984484474265,PUSH,
Joaquin Niemann,Dustin Johnson,Bryson DeChambeau,SLIGHT: A favored,Joaquin Niemann,Bryson DeChambeau,False,3.919984484474265,LOSS,False
Miguel Tabuena,Bjorn Hellgren,Yosuke Asaji,SLIGHT: A favored,Miguel Tabuena,Bjorn Hellgren,False,3.919984484474265,LOSS,False
John Parry,John Vanderlaan,Marcelo Rozo,SLIGHT: C favored,Marcelo Rozo,John Vanderlaan,False,3.876094158526,LOSS,False
Charles Howell III,Jason Kokrak,Caleb Surratt,SLIGHT: A favored,Charles Howell III,Charles Howell III,False,3.876094158526,WIN,True
Caleb Surratt,Victor Perez,Jose Luis Ballester,SLIGHT: C favored,Jose Luis Ballester,,True,3.86169498467563,PUSH,
Graeme McDowell,Peter Uihlein,Branden Grace,SLIGHT: A favored,Graeme McDowell,Graeme McDowell,False,3.86169498467563,WIN,True
Bubba Watson,Ian Poulter,Brendan Steele,SLIGHT: B favored,Ian Poulter,Brendan Steele,False,3.86169498467563,LOSS,False
Jhonattan Vegas,Taylor Pendrith,Alex Noren,SLIGHT: C favored,Alex Noren,Alex Noren,False,3.698024066195088,WIN,True
Jhonattan Vegas,Taylor Pendrith,Alex Noren,SLIGHT: C favored,Alex Noren,Alex Noren,False,3.698024066195088,WIN,True
J.J. Spaun,Ludvig Aberg,Hideki Matsuyama,SLIGHT: C favored,Hideki Matsuyama,Hideki Matsuyama,False,3.5326591260749147,WIN,True
Hideki Matsuyama,Ludvig Aberg,J.J. Spaun,SLIGHT: A favored,Hideki Matsuyama,Hideki Matsuyama,False,3.5326591260749147,WIN,True
Bryson DeChambeau,Dustin Johnson,Louis Oosthuizen,SLIGHT: A favored,Bryson DeChambeau,Bryson DeChambeau,False,3.4865738143515097,WIN,True
Stephen Ferreira,Franklin Manchest,Joel Girrbach,SLIGHT: C favored,Joel Girrbach,Joel Girrbach,False,3.3971826649029744,WIN,True
Richard Sterne,Marcel Schneider,Hennie Otto,SLIGHT: A favored,Richard Sterne,Richard Sterne,False,3.203184392649928,WIN,True
