condition,round_type,gap,tithi,n,edge,roi,conf,mean_error
Calm,Open,-20--10,13.0,165,-4.2424242424242395,-3.25581395348837,HIGH,0.41824161299212126
Calm,Open,10-20,1.0,12,16.666666666666664,3.2258064516129026,WEAK,-0.5187170113166666
Tough,Open,-10-0,20.0,12,16.666666666666664,3.2258064516129026,WEAK,-0.02060298534000003
Calm,Open,20+,6.0,12,-16.666666666666664,-3.2258064516129026,WEAK,0.45994544788333336
Moderate,Open,-20--10,13.0,106,-4.716981132075471,-3.205128205128205,HIGH,0.11713794838339622
Calm,Open,-20--10,10.0,106,4.716981132075471,3.205128205128205,HIGH,-0.21319969099047176
Tough,Open,-10-0,13.0,13,15.384615384615385,3.1746031746031744,WEAK,-0.7667252906300001
Calm,Open,-20--10,3.0,139,-4.316546762589926,-3.174603174603173,HIGH,0.46195443136978426
Moderate,Open,<-20,27.0,208,3.8461538461538463,3.10077519379845,HIGH,-0.025812309484759613
Moderate,Open,10-20,17.0,15,13.333333333333336,3.0769230769230775,EXPLORATORY,-1.03977168076
Tough,Open,<-20,28.0,15,-13.333333333333334,-3.076923076923077,EXPLORATORY,1.2706183889500666
Tough,Open,<-20,22.0,16,-12.5,-3.0303030303030303,EXPLORATORY,0.28394363630874997
Calm,Open,20+,17.0,16,-12.5,-3.0303030303030303,EXPLORATORY,0.14731522240000006
Tough,Open,<-20,8.0,16,12.5,3.0303030303030303,EXPLORATORY,-0.963128124349375
Calm,Open,-10-0,1.0,82,-4.878048780487804,-3.03030303030303,HIGH,0.4419727707256097
Moderate,Open,0-10,16.0,49,6.122448979591832,3.030303030303028,HIGH,0.21767117476326533
Moderate,Open,0-10,23.0,50,6.0,3.0,HIGH,-0.5572396197439999
Calm,Open,-20--10,8.0,150,-3.9999999999999982,-2.9999999999999987,HIGH,0.4376196710659997
Calm,Open,<-20,8.0,320,-3.437499999999999,-2.9729729729729724,HIGH,0.44285796665625005
Tough,Open,-10-0,12.0,18,-11.11111111111111,-2.941176470588235,EXPLORATORY,0.5160847932888889
