player_a,player_b,color_a,color_b,condition,round_type,exec_ratio_a,upside_ratio_a,score_a,exec_ratio_b,upside_ratio_b,score_b,winner_score,loser_score,prediction,actual_winner,correct
Daniel Berger,Sahith Theegala,Yellow,Orange,Calm,Open,0.6272,0.6172,0.6222,0.6089,0.6128,0.61085,0.6222,0.61085,Daniel Berger,Daniel Berger,True
Sam Burns,Matt Fitzpatrick,Orange,Blue,Calm,Open,0.6089,0.6128,0.61085,0.6272,0.6295000000000001,0.62835,0.62835,0.61085,Matt Fitzpatrick,Matt Fitzpatrick,True
Ben Griffin,Scottie Scheffler,Purple,Orange,Calm,Open,0.6148,0.6264,0.6206,0.6770999999999999,0.6406000000000001,0.6588499999999999,0.6588499999999999,0.6206,Scottie Scheffler,Ben Griffin,False
Sepp Straka,Nick Taylor,Green,Green,Calm,Open,0.6286,0.5884,0.6085,0.5686,0.5884,0.5785,0.6085,0.5785,Sepp Straka,Nick Taylor,False
Wyndham Clark,Jordan Spieth,Green,Orange,Calm,Open,0.5686,0.594,0.5812999999999999,0.6770999999999999,0.6406000000000001,0.6588499999999999,0.6588499999999999,0.5812999999999999,Jordan Spieth,Jordan Spieth,True
Chris Gotterup,Harris English,Yellow,Yellow,Calm,Open,0.6222,0.6172,0.6196999999999999,0.6272,0.6148,0.621,0.621,0.6196999999999999,Harris English,Chris Gotterup,False
Davis Thompson,Kurt Kitayama,Yellow,Blue,Calm,Open,0.6272,0.6172,0.6222,0.5769,0.6295000000000001,0.6032,0.6222,0.6032,Davis Thompson,Push,
Patrick Rodgers,Jacob Bridgeman,Orange,Green,Calm,Open,0.6089,0.6406000000000001,0.62475,0.6286,0.5884,0.6085,0.62475,0.6085,Patrick Rodgers,Jacob Bridgeman,False
Alex Smalley,Eric Cole,Blue,Orange,Calm,Open,0.6272,0.6295000000000001,0.62835,0.6770999999999999,0.6406000000000001,0.6588499999999999,0.6588499999999999,0.62835,Eric Cole,Push,
Corey Conners,Keith Mitchell,Yellow,Purple,Calm,Open,0.6061,0.6148,0.6104499999999999,0.6148,0.6264,0.6206,0.6206,0.6104499999999999,Keith Mitchell,Keith Mitchell,True
Rasmus Neergaard-Petersen,Thorbjorn Olesen,Yellow,Purple,Calm,Open,0.6061,0.6172,0.61165,0.5589,0.5864,0.57265,0.61165,0.57265,Rasmus Neergaard-Petersen,Rasmus Neergaard-Petersen,True
Mac Meissner,Kristoffer Reitan,Purple,Purple,Calm,Open,0.6631,0.5864,0.62475,0.5589,0.5864,0.57265,0.62475,0.57265,Mac Meissner,Kristoffer Reitan,False
Sam Stevens,J.T. Poston,Green,Yellow,Calm,Open,0.6286,0.5884,0.6085,0.6222,0.6172,0.6196999999999999,0.6196999999999999,0.6085,J.T. Poston,Sam Stevens,False
Hideki Matsuyama,Viktor Hovland,Green,Purple,Calm,Open,0.6429,0.594,0.6184499999999999,0.6148,0.6264,0.6206,0.6206,0.6184499999999999,Viktor Hovland,Viktor Hovland,True
Collin Morikawa,Brooks Koepka,Yellow,Yellow,Calm,Open,0.6272,0.6172,0.6222,0.6272,0.6172,0.6222,0.6222,0.6222,TIE,Collin Morikawa,
Xander Schauffele,Cameron Young,Yellow,Orange,Calm,Open,0.6272,0.6172,0.6222,0.6770999999999999,0.6406000000000001,0.6588499999999999,0.6588499999999999,0.6222,Cameron Young,Cameron Young,True
Harry Hall,Andrew Novak,Orange,Yellow,Calm,Open,0.6089,0.6128,0.61085,0.6061,0.6148,0.6104499999999999,0.61085,0.6104499999999999,Harry Hall,Harry Hall,True
Si Woo Kim,Maverick McNealy,Orange,Purple,Calm,Open,0.6770999999999999,0.6406000000000001,0.6588499999999999,0.6148,0.6264,0.6206,0.6588499999999999,0.6206,Si Woo Kim,Si Woo Kim,True
Rickie Fowler,Min Woo Lee,Green,Yellow,Calm,Open,0.6286,0.5884,0.6085,0.6272,0.6148,0.621,0.621,0.6085,Min Woo Lee,Min Woo Lee,True
