player_a,player_b,condition,round_type,prediction,actual_winner,gap,score_a,score_b,result,correct
Jake Knapp,Matt Fitzpatrick,Calm,Open,SKIP,Jake Knapp,-2.801460773912223,-2.801460773912223,0.0,SKIP,
Sam Burns,Sungjae Im,Calm,Open,SKIP,Sam Burns,-5.569408771522003,-5.569408771522003,0.0,SKIP,
J.J. Spaun,Nick Taylor,Calm,Open,SKIP,Nick Taylor,-6.0129473429151385,-6.0129473429151385,0.0,SKIP,
Keegan Bradley,Maverick McNealy,Calm,Open,SKIP,Maverick McNealy,-6.2880345882637325,-6.2880345882637325,0.0,SKIP,
Ben Griffin,Tommy Fleetwood,Calm,Open,SKIP,Ben Griffin,-6.2880345882637325,-6.2880345882637325,0.0,SKIP,
Nico Echavarria,Ludvig Aberg,Calm,Open,SKIP,Ludvig Aberg,-5.569408771522003,-5.569408771522003,0.0,SKIP,
Jacob Bridgeman,Chris Gotterup,Calm,Open,SKIP,Chris Gotterup,-6.103294108272843,-6.103294108272843,0.0,SKIP,
Justin Thomas,Hideki Matsuyama,Calm,Open,SKIP,Hideki Matsuyama,-5.569408771522003,-5.569408771522003,0.0,SKIP,
Rory McIlroy,Viktor Hovland,Calm,Open,Viktor Hovland,Rory McIlroy,-10.453679052615788,-10.453679052615788,0.0,LOSS,False
Rickie Fowler,Michael Kim,Calm,Open,SKIP,Rickie Fowler,-6.103294108272843,-6.103294108272843,0.0,SKIP,
Chris Kirk,Sahith Theegala,Calm,Open,SKIP,Sahith Theegala,-2.801460773912223,-2.801460773912223,0.0,SKIP,
Abraham Ancer,Carlos Ortiz,Calm,Open,SKIP,Carlos Ortiz,-6.0129473429151385,-6.0129473429151385,0.0,SKIP,
Sergio Garcia,Peter Uihlein,Calm,Open,SKIP,Push,-5.7766986451965,-5.7766986451965,0.0,PUSH,
Talor Gooch,Byeong-Hun An,Calm,Open,SKIP,Talor Gooch,-2.2271999497468435,-2.2271999497468435,0.0,SKIP,
Dustin Johnson,Paul Casey,Calm,Open,Paul Casey,Paul Casey,-10.621714015079947,-10.621714015079947,0.0,WIN,True
Marc Leishman,Elvis Smylie,Calm,Open,SKIP,Marc Leishman,-4.599156562439124,-4.599156562439124,0.0,SKIP,
Sebastian Munoz,Joaquin Niemann,Calm,Open,SKIP,Joaquin Niemann,-6.564241027910402,-6.564241027910402,0.0,SKIP,
Thomas Pieters,Anthony Kim,Calm,Open,SKIP,Anthony Kim,-6.103294108272843,-6.103294108272843,0.0,SKIP,
David Puig,Tyrrell Hatton,Calm,Open,SKIP,Tyrrell Hatton,-6.564241027910402,-6.564241027910402,0.0,SKIP,
Jon Rahm,Bryson DeChambeau,Calm,Open,SKIP,Push,-5.569408771522003,-5.569408771522003,0.0,PUSH,
Cameron Smith,Lucas Herbert,Calm,Open,SKIP,Cameron Smith,-6.0870416498972055,-6.0870416498972055,0.0,SKIP,
Byeong-Hun An,Branden Grace,Moderate,Open,SKIP,Branden Grace,0.7769622730033564,0.7769622730033564,0.0,SKIP,
Richard Bland,Charl Schwartzel,Moderate,Open,Charl Schwartzel,Push,-8.127067722374239,-8.127067722374239,0.0,PUSH,
Dean Burmester,Thomas Pieters,Moderate,Open,Thomas Pieters,Push,-8.127067722374239,-8.127067722374239,0.0,PUSH,
Bryson DeChambeau,Tyrrell Hatton,Moderate,Open,SKIP,Bryson DeChambeau,-3.1430222114709085,-3.1430222114709085,0.0,SKIP,
Thomas Detry,Marc Leishman,Moderate,Open,Marc Leishman,Push,-16.457663080453408,-16.457663080453408,0.0,PUSH,
Sergio Garcia,Talor Gooch,Moderate,Open,SKIP,Talor Gooch,0.7769622730033564,0.7769622730033564,0.0,SKIP,
Lucas Herbert,Cameron Smith,Moderate,Open,Cameron Smith,Cameron Smith,-8.127067722374239,-8.127067722374239,0.0,WIN,True
Anirban Lahiri,Jason Kokrak,Moderate,Open,SKIP,Push,0.7769622730033564,0.7769622730033564,0.0,PUSH,
Sebastian Munoz,Joaquin Niemann,Moderate,Open,Joaquin Niemann,Joaquin Niemann,-14.882386606837976,-14.882386606837976,0.0,WIN,True
