player_a,player_b,player_c,prediction,predicted_ml,actual_winner,is_push,recommendation,edge,result_type,pl
Rocco Repetto Taylor,Connor McKinney,Mohit Mediratta,Rocco Repetto Taylor,-115.0,Rocco Repetto Taylor,False,SLIGHT: A favored,1.526128928107811,WIN,86.95652173913044
Hugo Townsend,Tapio Pulkkanen,Ryggs Johnston,Hugo Townsend,160.0,Ryggs Johnston,False,SLIGHT: A favored,1.5041375458337187,LOSS,-100.0
Nick Dunlap,Rico Hoey,Chandler Blanchet,Rico Hoey,137.0,Chandler Blanchet,False,SLIGHT: B favored,1.4850659365048209,LOSS,-100.0
Michael Hollick,Ivan Cantero Gutierrez,Eddie Pepperell,Eddie Pepperell,170.0,Michael Hollick,False,SLIGHT: C favored,1.4263324940097952,LOSS,-100.0
Manuel Elvira,Thanda Mavundla,Scott Jamieson,Scott Jamieson,125.0,Scott Jamieson,False,SLIGHT: C favored,1.4065010106127107,WIN,125.0
Eddie Pepperell,Darren Fichardt,Kyle Barker,Eddie Pepperell,115.0,Darren Fichardt,False,SLIGHT: A favored,1.3989403152884714,LOSS,-100.0
Patrick Fishburn,Zach Bauchou,Sudarshan Yellamaraju,Sudarshan Yellamaraju,175.0,Sudarshan Yellamaraju,False,SLIGHT: C favored,1.2699195017369922,WIN,175.0
Merrick Bremner,Lyle Rowe,Kieron van Wyk,Lyle Rowe,145.0,,True,SLIGHT: B favored,1.2699195017369922,2WAY_PUSH_WIN,72.5
Adam Svensson,Michael Kim,Bud Cauley,Adam Svensson,230.0,Bud Cauley,False,SLIGHT: A favored,1.0851790217461028,LOSS,-100.0
Tom Kim,Michael Thorbjornsen,Rasmus Hojgaard,Michael Thorbjornsen,160.0,Rasmus Hojgaard,False,SLIGHT: B favored,1.0851790217461028,LOSS,-100.0
Stephen Ferreira,Ricardo Gouveia,Maximilian Steinlechner,Stephen Ferreira,375.0,Maximilian Steinlechner,False,SLIGHT: A favored,1.0851790217461028,LOSS,-100.0
Brandon Robinson Thompson,Pablo Larrazabal,Luis Carrera,Brandon Robinson Thompson,105.0,Luis Carrera,False,SLIGHT: A favored,1.0851790217461028,LOSS,-100.0
Nick Bachem,Jens Dantorp,Daniel Cronje,Nick Bachem,260.0,Daniel Cronje,False,SLIGHT: A favored,1.0851790217461028,LOSS,-100.0
Casey Jarvis,Jayden Schaper,Angel Ayora,Casey Jarvis,225.0,,True,SLIGHT: A favored,1.0851790217461028,2WAY_PUSH_WIN,112.5
Emiliano Grillo,Kevin Roy,Danny Walker,Emiliano Grillo,137.0,Kevin Roy,False,SLIGHT: A favored,1.0851790217461028,LOSS,-100.0
Connor Syme,Alejandro Del Rey,Brandon Robinson Thompson,Alejandro Del Rey,145.0,,True,SLIGHT: B favored,0.9748352431125475,2WAY_PUSH_LOSS,-100.0
Robin Williams,Alex Fitzpatrick,Frederic Lacroix,Robin Williams,275.0,,True,SLIGHT: A favored,0.9730545236429418,2WAY_PUSH_WIN,137.5
Jimmy Stanger,Neal Shipley,Jeffrey Kang,Jeffrey Kang,190.0,Jimmy Stanger,False,SLIGHT: C favored,0.9730545236429418,LOSS,-100.0
Zecheng Dou,David Ford,Justin Hicks,David Ford,110.0,,True,SLIGHT: B favored,0.9730545236429418,2WAY_PUSH_WIN,55.00000000000001
Mutahi Kibugu,Filippo Celli,David Law,Mutahi Kibugu,750.0,David Law,False,SLIGHT: A favored,0.9730545236429418,LOSS,-100.0
Jeff Winther,Adam Blomme,Celestin Nsazuwera,Jeff Winther,110.0,Celestin Nsazuwera,False,SLIGHT: A favored,0.95634900611621,LOSS,-100.0
Mackenzie Hughes,Denny McCarthy,Austin Smotherman,Mackenzie Hughes,200.0,Denny McCarthy,False,SLIGHT: A favored,0.9337722515095574,LOSS,-100.0
Paul Peterson,Paul Waring,Blades Brown,Paul Waring,240.0,Paul Peterson,False,SLIGHT: B favored,0.9337722515095574,LOSS,-100.0
Ewen Ferguson,Robin Williams,Rikuya Hoshino,Ewen Ferguson,120.0,Ewen Ferguson,False,SLIGHT: A favored,0.9308343795307064,WIN,120.0
Kota Kaneko,Musliwalo Nethunzwi,Kieran Vincent,Musliwalo Nethunzwi,475.0,Kieran Vincent,False,SLIGHT: B favored,0.9189463920896482,LOSS,-100.0
Wilco Nienaber,Hennie du Plessis,Julien Guerrier,Wilco Nienaber,260.0,Hennie du Plessis,False,SLIGHT: A favored,0.9189463920896482,LOSS,-100.0
Joe Dean,Jonathan Broomhead,Brandon Robinson Thompson,Brandon Robinson Thompson,160.0,Brandon Robinson Thompson,False,SLIGHT: C favored,0.8976346629355104,WIN,160.0
Casey Jarvis,Calum Hill,Thriston Lawrence,Casey Jarvis,130.0,,True,SLIGHT: A favored,0.8633557875177935,2WAY_PUSH_WIN,65.0
Jackson Suber,Johnny Keefer,Blades Brown,Johnny Keefer,125.0,Jackson Suber,False,SLIGHT: B favored,0.860480799672878,LOSS,-100.0
Lucas Herbert,Thomas Pieters,Richard T. Lee,Thomas Pieters,162.0,,True,SLIGHT: B favored,0.8434254861518529,2WAY_PUSH_WIN,81.0
Jacob Bridgeman,Wyndham Clark,Jordan Spieth,Jacob Bridgeman,130.0,Jacob Bridgeman,False,SLIGHT: A favored,0.8434254861518529,WIN,130.0
Matthieu Pavon,Eric Cole,Kevin Roy,Matthieu Pavon,240.0,Matthieu Pavon,False,SLIGHT: A favored,0.8434254861518529,WIN,240.0
Steven Fisk,William Mouw,Joe Highsmith,Steven Fisk,160.0,William Mouw,False,SLIGHT: A favored,0.8338937248602134,LOSS,-100.0
