condition,round_type,exec_bucket,upside_bucket,horoscope,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Moderate,Open,25,50,CAPRICORN,30,40.0,6.7,28.7,21.5,11.3,-14.8,4.49,-1.27
Moderate,Open,25,50,GEMINI,48,29.2,14.6,28.7,21.5,0.5,-6.9,1.5,-0.5
Moderate,Open,25,50,LEO,46,19.6,21.7,28.7,21.5,-9.1,0.3,0.67,0.4
Moderate,Open,25,50,PISCES,40,35.0,25.0,28.7,21.5,6.3,3.5,1.05,-0.33
Moderate,Open,25,50,SAGITTARIUS,42,40.5,16.7,28.7,21.5,11.8,-4.8,1.82,-1.23
Moderate,Open,25,50,SCORPIO,32,21.9,9.4,28.7,21.5,-6.8,-12.1,1.75,-0.5
Moderate,Open,50,50,AQUARIUS,54,38.9,11.1,28.7,21.5,10.2,-10.4,2.62,-0.72
Moderate,Open,50,50,ARIES,68,32.4,19.1,28.7,21.5,3.7,-2.4,1.27,-0.43
Moderate,Open,50,50,CANCER,58,25.9,15.5,28.7,21.5,-2.8,-6.0,1.25,-0.12
Moderate,Open,50,50,CAPRICORN,67,31.3,22.4,28.7,21.5,2.6,0.9,1.05,-0.16
Moderate,Open,50,50,GEMINI,79,30.4,24.1,28.7,21.5,1.7,2.6,0.95,-0.05
Moderate,Open,50,50,LEO,67,29.9,13.4,28.7,21.5,1.1,-8.0,1.66,-0.64
Moderate,Open,50,50,PISCES,78,32.1,23.1,28.7,21.5,3.4,1.6,1.04,-0.21
Moderate,Open,50,50,SAGITTARIUS,69,20.3,29.0,28.7,21.5,-8.4,7.5,0.52,0.56
Moderate,Open,50,50,SCORPIO,73,24.7,21.9,28.7,21.5,-4.0,0.4,0.84,0.13
Moderate,Open,50,50,TAURUS,44,27.3,13.6,28.7,21.5,-1.4,-7.8,1.5,-0.61
Moderate,Open,50,50,VIRGO,54,35.2,24.1,28.7,21.5,6.5,2.6,1.09,-0.46
Moderate,Open,50,75,ARIES,55,23.6,23.6,28.7,21.5,-5.1,2.2,0.75,0.08
Moderate,Open,50,75,CANCER,65,27.7,20.0,28.7,21.5,-1.0,-1.5,1.04,-0.34
Moderate,Open,50,75,CAPRICORN,35,28.6,14.3,28.7,21.5,-0.1,-7.2,1.5,-0.69
Moderate,Open,50,75,GEMINI,67,35.8,19.4,28.7,21.5,7.1,-2.1,1.38,-0.61
Moderate,Open,50,75,LEO,44,36.4,6.8,28.7,21.5,7.7,-14.7,3.99,-1.01
Moderate,Open,50,75,PISCES,68,25.0,29.4,28.7,21.5,-3.7,7.9,0.64,0.16
Moderate,Open,50,75,SAGITTARIUS,34,23.5,20.6,28.7,21.5,-5.2,-0.9,0.86,0.12
Moderate,Open,50,75,SCORPIO,60,23.3,20.0,28.7,21.5,-5.4,-1.5,0.87,-0.14
Moderate,Open,50,75,TAURUS,31,29.0,25.8,28.7,21.5,0.3,4.3,0.84,0.17
Moderate,Open,50,75,VIRGO,61,32.8,21.3,28.7,21.5,4.1,-0.2,1.15,0.0
Moderate,Positioning,50,50,ARIES,34,23.5,23.5,22.7,22.6,0.9,0.9,1.0,0.01
Moderate,Positioning,50,50,CANCER,49,26.5,28.6,22.7,22.6,3.9,6.0,0.92,0.14
Moderate,Positioning,50,50,CAPRICORN,35,25.7,20.0,22.7,22.6,3.0,-2.6,1.28,0.11
Moderate,Positioning,50,50,GEMINI,46,32.6,10.9,22.7,22.6,9.9,-11.7,2.99,-0.7
Moderate,Positioning,50,50,LEO,41,22.0,24.4,22.7,22.6,-0.7,1.8,0.9,-0.05
Moderate,Positioning,50,50,PISCES,44,22.7,25.0,22.7,22.6,0.0,2.4,0.91,0.2
Moderate,Positioning,50,50,SAGITTARIUS,42,19.0,23.8,22.7,22.6,-3.6,1.2,0.8,0.24
Moderate,Positioning,50,50,SCORPIO,41,24.4,26.8,22.7,22.6,1.7,4.2,0.91,-0.3
Moderate,Positioning,50,50,VIRGO,42,4.8,26.2,22.7,22.6,-17.9,3.6,0.18,0.95
Moderate,Survival,50,50,AQUARIUS,42,23.8,35.7,28.3,20.9,-4.5,14.8,0.49,0.41
Moderate,Survival,50,50,ARIES,47,23.4,10.6,28.3,20.9,-4.9,-10.3,1.63,-0.29
Moderate,Survival,50,50,CANCER,61,24.6,16.4,28.3,20.9,-3.7,-4.5,1.11,-0.73
Moderate,Survival,50,50,CAPRICORN,49,30.6,14.3,28.3,20.9,2.3,-6.7,1.59,-0.49
Moderate,Survival,50,50,GEMINI,63,28.6,22.2,28.3,20.9,0.3,1.3,0.95,-0.21
Moderate,Survival,50,50,LEO,73,26.0,23.3,28.3,20.9,-2.3,2.3,0.83,0.01
Moderate,Survival,50,50,PISCES,68,13.2,27.9,28.3,20.9,-15.1,7.0,0.35,0.35
Moderate,Survival,50,50,SAGITTARIUS,50,26.0,16.0,28.3,20.9,-2.3,-4.9,1.2,-0.46
Moderate,Survival,50,50,SCORPIO,50,24.0,24.0,28.3,20.9,-4.3,3.1,0.74,-0.14
Moderate,Survival,50,50,TAURUS,34,41.2,23.5,28.3,20.9,12.9,2.6,1.3,-0.86
Moderate,Survival,50,50,VIRGO,38,42.1,26.3,28.3,20.9,13.8,5.4,1.18,-0.71
Moderate,Survival,50,75,ARIES,34,29.4,23.5,28.3,20.9,1.1,2.6,0.93,-0.16
Moderate,Survival,50,75,CANCER,35,31.4,5.7,28.3,20.9,3.1,-15.2,4.07,-1.06
Moderate,Survival,50,75,GEMINI,34,29.4,26.5,28.3,20.9,1.1,5.5,0.82,-0.47
Moderate,Survival,50,75,PISCES,48,25.0,20.8,28.3,20.9,-3.3,-0.1,0.89,0.25
Moderate,Survival,50,75,SAGITTARIUS,31,25.8,22.6,28.3,20.9,-2.5,1.6,0.85,-0.25
Moderate,Survival,50,75,SCORPIO,36,25.0,33.3,28.3,20.9,-3.3,12.4,0.56,0.19
Moderate,Survival,50,75,VIRGO,33,33.3,21.2,28.3,20.9,5.0,0.3,1.16,-0.49
